"HTS Number","COMMODITIES","IMPORT"
"29332960","Imidazole","1,071,197"
"29332990","Other compounds (excluding drugs, aromatic and modified aromatic compounds) containing an unfused imidazole ring (whether or n/hydrogenated)","14,262,683"
"29333100","Pyridine and its salts","2,447,284"
"29333250","Piperidine salts","438,301"
"29336100","Melamine","50,822"
"29336920","2,4-Diamino-6-phenyl-1,3,5-triazine","1,698,042"
"29336950","Hexamethylenetetramine","220,705"
"29336960","Other compounds containing an unfused triazine ring (whether or not hydrogenated) in the structure","135,380,782"
"29337100","6-Hexanelactam (epsilon-Caprolactam)","366,669"
"29337908","Aromatic or modified aromatic lactams with nitrogen hetero-atoms only described in additional U.S. note 3 to section VI","29,144,281"
"29337915","Aromatic or modified aromatic lactams, nesoi","538,315"
"29337920","N-Methyl-2-pyrrolidone; and 2-pyrrolidone","4,306,467"
"29337930","N-Vinyl-2-pyrrolidone, monomer","43,200"
"29337985","Aromatic or modified aromatic lactams with nitrogen hetero-atoms only, nesoi","4,997,193"
"29339200","Azinphos-methyl","10,876"
"29341010","Aromatic or modified aromatic heterocyclic compounds cont. an unfused thiazole ring, described in add. U.S. note 3 to section VI","1,441,238"
"29341020","Aromatic or modified aromatic heterocyclic compounds, nesoi, containing an unfused thiazole ring","1,066,018"
"29341070","4,5-Dichloro-2-n-octyl-4-isothiazolin-3-one; thiothiamine hydrochloride; and 4 other specified chemicals","10,125,766"
"29341090","Other compounds (excluding aromatic or modified aromatic) containing an unfused thiazole ring (whether or not hydrogenated) in the structure","1,883,568"
"29342005","N-tert-Butyl-2-benzothiazolesulfenamide","13,942,813"
"29342010","2,2'-Dithiobisbenzothiazole","5,108,850"
"29342015","2-Mercaptobenzothiazole; and N-(Oxydiethylene)benzothiazole-2-sulfenamide","5,412,192"
"29342020","2-Mercaptobenzothiazole, sodium salt (2-Benzothiazolethiol, sodium salt)","238,856"
"29342025","2-Amino-5,6-dichlorobenzothiazole; 2-amino-6-nitrobenzothiazole; and 2 other specified chemicals","4,465,640"
"29342030","2-Amino-6-methoxybenzothiazole and other specified heterocyclic compounds, cont. a benzothiazole ring-system, not further fused","39,840"
"29342040","Heterocyclic compounds containing a benzothiazole ring-system, not further fused, described in add. U.S. note 3 to section VI","871,382"
"29342080","Other compounds containing a benzothiazole ring system (whether or not hydrogenated), not further fused","23,390,914"
"29398000","Other alkaloids, natural or reproduced by synthesis and their salts, ethers, esters & other derivatives, nesoi","463,419"
"29400020","D-Arabinose","2,382,508"
"29400060","Other sugars, nesoi excluding d-arabinose","25,242,650"
"29420005","Aromatic or modified aromatic drugs of other organic compounds, nesoi","44,093"
"29420010","Aromatic or modified aromatic organic compounds, nesoi, described in additional U.S. note 3 to section VI","3,829,819"
"29420035","Other aromatic or modified aromatic organic compounds (excluding products described in additional U.S. note 3 to section VI)","805,827"
"29420050","Nonaromatic organic compounds, nesoi","15,396,304"
"31010000","Animal or vegetable fertilizers; fertilizers produced by the mixing or chemical treatment of animal or vegetable products","1,290,737"
"31021000","Urea, whether or not in aqueous solution","89,509,124"
"31022100","Ammonium sulfate","23,736"
"31022900","Double salts and mixtures of ammonium sulfate and ammonium nitrate","1,109,454"
"31023000","Ammonium nitrate, whether or not in aqueous solution","3,732,382"
"31024000","Mixtures of ammonium nitrate with calcium carbonate or other inorganic nonfertilizing substances","30,038"
"31025000","Sodium nitrate","1,042,052"
"31026000","Double salts and mixtures of calcium nitrate and ammonium nitrate","999,116"
"31028000","Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution","10,174,961"
"31029001","Mineral or chemical fertilizers, nitrogenous, nesoi, including mixtures not specified elsewhere in heading 3102","1,486,068"
"31039001","Mineral or chemical fertilizers, phosphatic","277,017"
"31042000","Potassium chloride","255,544"
"31043000","Potassium sulfate","248,908"
"31049001","Mineral or chemical fertilizers, potassic, nesoi","365,282"
"31051000","Fertilizers of chapter 31 in tablets or similar forms or in packages of a gross weight not exceeding 10 kg","4,657,084"
"31052000","Mineral or chemical fertilizers nesoi, containing the three fertilizing elements nitrogen, phosphorus and potassium","1,043,395"
"31053000","Diammonium hydrogenorthophosphate (Diammonium phosphate)","39,429,367"
"31054000","Ammonium dihydrogenorthophosphate (Monoammonium phosphate), mixtures thereof with diammonium hydrogenorthophosphate (Diammonium phosphate)","8,565,943"
"31055100","Mineral or chemical fertilizers nesoi, containing nitrates and phosphates","2,097,815"
"31056000","Mineral or chemical fertilizers nesoi, containing the two fertilizing elements phosphorous and potassium","190,584"
"31059000","Mineral or chemical fertilizers cont. two or three of the fertilizing elements nitrogen, phosphorus and potassium fertilizers, nesoi","5,407,662"
"32019010","Tannic acid, containing by weight 50 percent or more of tannic acid","685,990"
"32019025","Tanning extracts of canaigre,chestnut curupay,divi-divi,eucalyptus,gambier,hemlock,larch,mangrove,myrobalan,oak,sumac,tara,urunday,valonia","142,160"
"32019050","Tanning extracts of vegetable origin nesoi; tannins and their salts, ethers, esters and other derivatives","35,400"
"32021010","Aromatic or modified aromatic synthetic organic tanning substances","29,688"
"32021050","Synthetic organic tanning substances, nonaromatic","114,712"
"32029010","Tanning substances, tanning preparations and enzymatic preparations for pre-tanning consisting wholly of inorganic substances","43,338"
"32029050","Tanning substances, tanning preparations and enzymatic preparations for pre-tanning, nesoi","46,116"
"32030010","Coloring matter of annato, archil, cochineal, cudbear, litmus and marigold meal","928,004"
"32030080","Coloring matter of vegetable or animal origin, nesoi","19,355,877"
"32041110","Disperse blue 19 and other specified dispersed dyes and preparations based thereon","3,893,376"
"32041115","Disperse blue 30 and preparations based thereon","425,416"
"32041135","Disperse dyes described in add'l U.S. note 3 to section VI","4,449,517"
"32041150","Disperse dyes and preparations based thereon, nesoi","6,487,357"
"32041205","Acid black 210 powder and presscake","2,963"
"32041217","Acid dyes, whether or not premetallized, and preparations based thereon, acid black 31, and other specified acid or mordant dyes","559,529"
"32041220","Acid black 61 and other specified acid and mordant dyes and preparations based thereon","2,165,427"
"32041245","Acid dyes, whether or not premetallized, and preparations based thereon, described in add'l U.S. note 3 to section VI","2,684,744"
"32041250","Synthetic acid and mordant dyes and preparations based thereon, nesoi","4,386,535"
"32041310","Basic black 7 and other specified basic dyes and preparations based thereon","1,106,835"
"32041320","Basic orange 22, basic red 13 dyes, and preparations based thereon","55,176"
"32041325","Basic blue 3; basic red 14; and basic yellow 1, 11, 13; and preparations based thereon","132,367"
"32041345","3,7-Bis(dimethylamino)phenazathionium chloride (methylene blue); and basic blue 147","354,104"
"32041360","Basic dyes and preparations based thereon, described in add'l U.S note 3 to section VIvi","1,739,172"
"32041380","Basic dyes and preparations based thereon, nesoi","1,620,101"
"32041410","Direct black 62 and other specified basic dyes and preparations based thereon","86,242"
"32041420","Direct black 51 and other specified basic dyes and preparations based thereon","108,786"
"32041430","Direct dyes nesoi, and preparations based thereon, described in additional U.S. note 3 to section VI","897,106"
"32041450","Direct dyes and preparations based thereon, nesoi","713,292"
"32041510","Vat blue 1 (synthetic indigo) dye, Colour Index No. 73000 and preparations based thereon","573,653"
"32041520","Vat brown 3; vat orange 2, 7; and vat violet 9, 13 dyes and preparations based thereon","1,262,463"
"32041525","Vat red 1","3,315"
"32041530","Solubilized vat blue 5 and specified solubilized vat dyes and preparations based thereon","1,315,511"
"32041540","Vat dyes (incl. those usable as pigments) and preparations based thereon, described in add. U.S. note 3 to sec. VI","532,076"
"32041580","Vat dyes (including those usable in that state as pigments) and preparations based thereon, nesoi","5,945,361"
"32041610","Reactive black 1; blue 1, 2, 4; orange 1; red 1, 2, 3, 5, 6; and yellow 1; and preparations based thereon","297,015"
"32041620","Specified reactive dye mixtures and preparations based thereon","658,938"
"32041630","Reactive dyes and preparations based thereon nesoi, described in additional U.S. note 3 to section VI","854,133"
"32041650","Synthetic reactive dyes and preparations based thereon, nesoi","930,208"
"32041704","Pigments and preparations based thereon, pigment black 1, and other specified pigments, nesoi","17,375,877"
"32041708","Pigment red 178; pigment yellow 101, 138","1,091,390"
"32041720","Copper phthalocyanine ([Phthalocyanato(2-)]copper) not ready for use as a pigment","1,626,549"
"32041740","Pigments and preparations based thereon, isoindoline red pigment; pigment red 242, 245; pigment yellow 155, 183, nesoi","15,857,208"
"32041760","Pigments and preparations based thereon, products described in add'l U.S. note 3 to section VI, nesoi","10,182,256"
"32041790","Other pigments and preparations based thereon, nesoi","79,895,249"
"32041906","Solvent yellow 43, 44, 85, 172","232,822"
"32041911","Solvent black 2 and other specified solvent dyes and preparations based thereon","5,168,370"
"32041920","Solvent dyes and preparations based thereon, products described in add'l U.S. note 3 to section VI","4,199,634"
"32041925","Solvent dyes and preparations based thereon nesoi","7,740,033"
"32041930","Sulfur black, Colour Index Nos. 53185, 53190 and 53195 and preparations based thereon","168,374"
"32041935","Beta-carotene and other carotenoid coloring matter","5,177,474"
"32041940","Synthetic organic coloring matter and preparations based thereon, nesoi, described in additional U.S. note 3 to section VI","4,812,995"
"32041950","Synthetic organic coloring matter and preparations based thereon nesoi, including mixtures of items from subheading 320411 to 320419","1,604,145"
"32042010","Fluorescent brightening agent 32","761,390"
"32042040","Benzoxazol","287,790"
"32042080","Synthetic organic products of a kind used as fluorescent brightening agents, nesoi","6,191,772"
"32049000","Synthetic organic coloring matter or preparations based thereon, nesoi; synthetic organic products used as luminophores","1,656,576"
"32050005","Carmine food coloring solutions, cont cochineal carmine lake and paprika oleoresins, not including any synthetic organic coloring matter","20,560"
"32050015","Carmine color lakes and preparations as specified in note 3 to this chapter, nesoi","8,000"
"32050050","Color lakes and preparations based thereon, nesoi","70,428"
"32061100","Pigments & preparations based on titanium dioxide containing 80 percent or more by weight off titanium dioxide calculated on the dry weight","84,112,041"
"32061900","Pigments and preparations based on titanium dioxide, nesoi","5,336,841"
"32062000","Pigments and preparations based on chromium compounds","584,439"
"32064100","Ultramarine and preparations based thereon","540,088"
"32064200","Lithopone and other pigments and preparations based on zinc sulfide","935,267"
"32064910","Concentrated dispersions of pigments in plastics materials","1,804,594"
"32064920","Coloring preparations based on iron oxides, as specified in note 3 to this chapter 32","1,035,157"
"32064930","Coloring preparations based on zinc oxides, as specified in note 3 to this chapter 32","158,053"
"32064940","Coloring preparations based on carbon black, as specified in note 3 to this chapter 32","3,456,308"
"32064955","Pigments and preparations based on hexacyanoferrates (ferrocyanides and ferricyanides)","473,388"
"32064960","Coloring matter and preparations, nesoi, as specified in note 3 to this chapter 32","26,119,010"
"32065000","Inorganic products of a kind used as luminophores","9,144,926"
"32071000","Prepared pigments, opacifiers, colors, and similar preparations, of a kind used in the ceramic, enamelling or glass industry","8,045,661"
"32072000","Vitrifiable enamels and glazes, engobes (slips), and similar preparations, of a kind used in the ceramic, enamelling or glass industry","232,944"
"32073000","Liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry","28,886"
"32074010","Glass frit and other glass, ground or pulverized","375,574"
"32074050","Glass frit and other glass, in the form of granules or flakes","140,116"
"32081000","Paints and varnishes (including enamels and lacquers) based on polyesters in a nonaqueous medium","83,408"
"32082000","Paints and varnishes (including enamels and lacquers) based on acrylic or vinyl polymers in a nonaqueous medium","16,627,165"
"32089000","Paints and varnishes based on synthetic polymers or chemically modified natural polymers nesoi, in a nonaqueous medium","1,403,451"
"32091000","Paints and varnishes (including enamels and lacquers) based on acrylic or vinyl polymers in an aqueous medium","1,299,170"
"32099000","Paints and varnishes based on synthetic polymers or chemically modified natural polymers nesoi, in an aqueous medium","301,105"
"32100000","Other paints and varnishes (including enamels, lacquers and distempers) nesoi; prepared water pigments of a kind used for finishing leather","490,621"
"32121000","Stamping foils","5,627,908"
"32129000","Pigments dispersed in nonaqueous media, in liquid or paste form, used in making paints; dyes & coloring matter packaged for retail sale","27,471,637"
"32131000","Artists', students' or signboard painters' colors, in tablets, tubes, jars, bottles, pans or in similar packings, in sets","49,516,909"
"32139000","Artists', students' or signboard painters' colors, in tablets, tubes, jars, bottles, pans or in similar packings, not in sets","39,185,108"
"32141000","Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings","2,612,031"
"32149010","Nonrefractory surfacing preparations for facades, indoor walls, floors, ceilings or the like, based on rubber","375,508"
"32149050","Nonrefractory surfacing preparations for facades, indoor walls, floors, ceilings or the like, not based on rubber","297,573"
"32151110","Printing ink, black, solid, in engineered shapes for apparatus in 8443.31,32,39","24,912"
"32151130","Printing ink, black, solid, other","240,013"
"32151190","Printing ink, black, not solid, other","590,124"
"32151910","Printing ink, not black, solid, in engineered shapes for apparatus in 8443.31,32,39","79,656"
"32151930","Printing ink, not black, solid, other","316,163"
"32151990","Printing ink, not black, not solid","4,749,961"
"32159010","Drawing ink","946,522"
"32159050","Inks, other than printing or drawing inks","3,570,407"
"33011300","Essential oils of lemon","1,129,959"
"33029010","Mixtures of or with a basis of odoriferous substances, used in other than the food or drink industries, zero to 10% alcohol by weight","63,521,348"
"33029020","Mixtures of or with a basis of odoriferous substances, used in other than the food or drink industries, over 10 percent alcohol by weight","1,978,348"
"33030010","Floral or flower waters, not containing alcohol","246,855"
"33030020","Perfumes and toilet waters, other than floral or flower waters, not containing alcohol","5,704,278"
"33030030","Perfumes and toilet waters, containing alcohol","51,069,720"
"33041000","Lip make-up preparations","260,249,558"
"33042000","Eye make-up preparations","291,993,468"
"33043000","Manicure or pedicure preparations","69,654,736"
"33049100","Beauty or make-up powders, whether or not compressed","166,997,650"
"33049910","Petroleum jelly put up for retail sale","1,164,764"
"33049950","Beauty or make-up preparations & preparations for the care of the skin, excl. medicaments but incl. sunscreen or sun tan preparations, nesoi","266,598,584"
"33051000","Shampoos","23,725,450"
"33052000","Preparations for permanent waving or straightening the hair","50,153"
"33053000","Hair lacquers","6,133,041"
"33059000","Preparations for use on the hair, nesoi","34,276,849"
"33069000","Preparations for oral or dental hygiene, including denture fixative pastes and powders, excluding dentifrices","3,877,250"
"33071010","Pre-shave, shaving or after-shave preparations, not containing alcohol","7,161,208"
"33071020","Pre-shave, shaving or after-shave preparations, containing alcohol","681,482"
"33072000","Personal deodorants and antiperspirants","5,259,210"
"33073010","Bath salts, whether or not perfumed","22,270,442"
"33073050","Bath preparations, other than bath salts","24,091,032"
"33074100","Agarbatti and other odoriferous preparations which operate by burning, to perfume or deodorize rooms or used during religious rites","4,827,398"
"33074900","Preparations for perfuming or deodorizing rooms, including odoriferous preparations used during religious rites, nesoi","93,229,147"
"33079000","Depilatories and other perfumery, cosmetic or toilet preparations. nesoi","29,920,584"
"34011110","Castile soap in the form of bars, cakes or molded pieces or shapes","274,787"
"34011150","Soap, nesoi; organic surface-active products used as soap, in bars, cakes, pieces, soap-impregnated paper, wadding, felt, for toilet use","44,249,324"
"34011900","Soap; organic surface-active products used as soap, in bars, cakes, pieces; soap-impregnated paper, wadding, felt, not for toilet use","65,122,440"
"34012000","Soap, not in the form of bars, cakes, molded pieces or shapes","15,070,317"
"34013010","Organic surface-active products for wash skin, in liquid or cream, contain any aromatic/mod aromatic surface-active agent, put up for retail","3,046,087"
"34013050","Organic surface-active products and preparations for washing the skin, in liquid or cream form, put up for retail sale, nesoi","53,978,647"
"34021120","Linear alkylbenzene sulfonates","742,781"
"34021140","Anionic, aromatic or modified aromatic organic surface-active agents, whether or not put up for retail sale, nesoi","424,425"
"34021150","Nonaromatic anionic organic surface-active agents (other than soap)","7,212,151"
"34021210","Aromatic or modified aromatic cationic organic surface-active agents (other than soap)","1,285,606"
"34021250","Nonaromatic cationic organic surface-active agents (other than soap)","7,823,659"
"34021310","Aromatic or modified aromatic nonionic organic surface-active agents (other than soap)","339,830"
"34021320","Nonaromatic nonionic organic surface-active agents (other than soap) of fatty substances of animal or vegetable origin","4,064,215"
"34021350","Nonaromatic nonionic organic surface-active agents (other than soap), other than of fatty substances of animal or vegetable origin","5,756,721"
"34021910","Aromatic or modified aromatic organic surface-active agents (other than soap) other than anionic, cationic or nonionic","228,994"
"34021950","Nonaromatic organic surface-active agents (other than soap) nesoi","955,999"
"34022011","Surface-active/washing/cleaning preparations containing any aromatic or mod aromatic surface-active agent, put up for retail, not head 3401","12,430,188"
"34022051","Surface-active, washing, and cleaning preparations nesoi, put up for retail sale, not of heading 3401","40,862,369"
"34029010","Synthetic detergents put up for retail sale","1,239,804"
"34029030","Surface-active, washing, and cleaning preparations cont. any aromatic or modified aromatic surface-active agent, put up for retail sale","593,859"
"34029050","Surface-active, washing, and cleaning preparations nesoi, put up for retail sale","9,244,121"
"34031140","Preparations for the treatment of textile materials, containing less than 50 percent by weight of petroleum oils","38,114"
"34039110","Preparations for the treatment of textile materials, nesoi","581,414"
"34039150","Preparations nesoi, for the treatment of leather, furskins or other materials nesoi","89,623"
"34042000","Artificial waxes and prepared waxes of polyethylene glycol","670,043"
"34049010","Artificial waxes and prepared waxes containing bleached beeswax","550,720"
"34049051","Artificial waxes and prepared waxes","8,860,455"
"34051000","Polishes, creams and similar preparations for footwear or leather","3,840,775"
"34052000","Polishes, creams and similar preparations for the maintenance of wooden furniture, floors or other woodwork","2,491,662"
"34053000","Polishes and similar preparations for coachwork, other than metal polishes","236,293"
"34054000","Scouring pastes and powders and other scouring preparations","115,611"
"34059000","Polishes, creams and similar preparations for glass or metal","1,638,286"
"35029000","Albumins, albuminates and other albumin derivatives, nesoi","209,862"
"35061010","Animal glue, including casein glue but not including fish glue, not exceeding a net weight of 1 kg, put up for retail sale","6,688"
"35061050","Products suitable for use as glues or adhesives, nesoi, not exceeding 1 kg, put up for retail sale","106,804,207"
"35069110","Adhesive preparations based on rubber or plastics (including artificial resins), optically clear, for flat panel & touchscreen displays","599,920"
"35069150","Other adhesive preparations based on rubber or plastics (including artificial resins)","7,247,596"
"35069900","Prepared glues and other prepared adhesives, excluding adhesives based on rubber or plastics, nesoi","9,292,353"
"35079070","Enzymes and prepared enzymes, nesoi","130,409,314"
"36061000","Liquid or liquefied-gas fuels in containers used for filling cigarette or similar lighters of a capacity not exceeding 300 cubic cm","3,962,188"
"37012000","Instant print film in the flat, sensitized, unexposed, whether or not in packs","691,663"
"37013000","Photographic plates and film nesoi, with any side 255 mm, in the flat, sensitized, unexposed, not of paper, paperboard, or textiles","1,154,681"
"37019100","Photographic plates, film, for color photography, nesoi, in the flat, sensitized, unexposed, not of paper, paperboard, textiles","215,009"
"37019960","Photographic plates and film, nesoi, in the flat, sensitized, unexposed, of any material other than paper, paperboard or textiles","2,014,754"
"37023101","Film in rolls, for color photography, without sprocket holes, of a width not exceeding 105 mm, sensitized, unexposed","19,998"
"37023901","Film in rolls without sprocket holes, width not exceeding 105 mm, other than color photography or silver halide emulsion film","197,307"
"37024201","Film in rolls, without sprocket holes, of a width exceeding 610 mm and of a length exceeding 200 m, other than for color photography","4,145,155"
"37024401","Film in rolls, without sprocket holes, of a width exceeding 105 mm but not exceeding 610 mm","5,464,557"
"37025300","Film for color photography, in rolls, exceeding 16 but not 35 mm in width and of a length not exceeding 30 m, for slides","2,509"
"37025400","Film for color photography, in rolls, exceeding 16 but not 35 mm in width, of a length not exceeding 30 m, other than for slides","9,491"
"37025600","Film for color photography, in rolls, of a width exceeding 35 mm","98,360"
"37029600","Photographic film nesoi, in rolls, of a width not exceeding 35 mm and of a length not exceeding 30 m","14,190"
"37029800","Photographic film nesoi, in rolls, of a width exceeding 35 mm","334,029"
"37031060","Photographic paper (other than silver halide), paperboard and textiles, sensitized, unexposed, in rolls of a width exceeding 610 mm","161,080"
"37039060","Photographic paper (not silver halide), paperbd, tex., not for color photo, other than in rolls of a width > 610 mm, sensitized, unexposed","27,877"
"37040000","Photographic plates, film, paper, paperboard and textiles, exposed but not developed","11,386,064"
"37050000","Photographic plates and film, exposed and developed, other than cinematographic film","188,198"
"37071000","Sensitizing emulsions, for photographic uses, nesoi","304,780"
"37079032","Chemical preparations for photographic uses, nesoi","10,663,224"
"37079060","Unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for use","232,638"
"38011010","Artificial graphite plates, rods, powder and other forms, for manufacture into brushes for electric generators, motors or appliances","4,337,777"
"38011050","Artificial graphite, nesoi","45,745,636"
"38012000","Colloidal or semi-colloidal graphite","433,609"
"38013000","Carbonaceous pastes for electrodes and similar pastes for furnace linings","349,364"
"38019000","Preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semimanufactures, nesoi","1,875,748"
"38021000","Activated carbon","18,122,424"
"38029020","Activated clays and activated earths","224,789"
"38029050","Activated natural mineral products, nesoi; animal black, including spent animal black","142,657"
"38030000","Tall oil, whether or not refined","4,655"
"38040010","Lignin sulfonic acid and its salts","394,921"
"38040050","Residual lyes from the manufacture of wood pulp, nesoi, excluding tall oil","33,060"
"38051000","Gum, wood or sulfate turpentine oils","18,890"
"38059010","Pine oil containing alpha-terpineol as the main constituent","0"
"38059050","Terpenic oils, nesoi, produced by treatment of coniferous woods; crude dipentene; sulfite turpentine and other crude para-cymene","83,331"
"38061000","Rosin and resin acids","12,198,187"
"38062000","Salts of rosin or of resin acids","71,954"
"38063000","Ester gums","4,280,181"
"38069000","Resin acids, derivatives of resin acids and rosin, rosin spirit and rosin oils, run gums, nesoi","4,959,358"
"38070000","Wood tar and its oils; wood creosote; wood naphtha; vegetable pitch; preparations based on rosin, resin acids or vegetable pitch","3,187"
"38085910","Pesticides containing any aromatic or modified aromatic specified in note 1 to chapter 38","1,156,552"
"38085940","Disinfectants specified in note 1 to chapter 38","177,240"
"38085950","Pesticides, nesoi specified in note 1 to chapter 38","6,207,075"
"38086150","Pesticides, nesoi , not exceeding 300g, specified in note 2 to chapter 38","2,587"
"38086950","Pesticides, nesoi , >7.5kg, specified in note 2 to chapter 38","14,415"
"38089110","Fly ribbons (ribbon fly catchers), put up in packings for retail sale","1,552,111"
"38089115","Mixtures of N-[[(chlorophenyl)amino]carbonyl]-2,6-difluorobenzamide and inert substances","842,200"
"38089125","Insecticides containing any aromatic or modified aromatic insecticide, nesoi","12,289,113"
"38089130","Insecticides, nesoi, containing an inorganic substance, put up for retail sale","1,810,127"
"38089150","Insecticides, nesoi, for retail sale or as preparations or articles","118,519,443"
"38089215","Fungicides containing any aromatic or modified aromatic fungicide, nesoi","5,310,645"
"38089230","Fungicides, nesoi, containing an inorganic substance, put up for retail sale","1,223,310"
"38089250","Fungicides nesoi, put up in forms or packing for retail sale or as preparations or articles","4,606,403"
"38089305","Herbicides, antisprouting products and plant-growth regulators, aromatic or modified aromatic, for retail sale","2,021,238"
"38089315","Herbicides containing any aromatic or modified aromatic herbicide, antisprouting agent or plant-growth regulator, nesoi","72,134,455"
"38089320","Herbicides, antisprouting products and plant-growth regulators, nesoi, containing an inorganic substance, for retail sale","8,575,286"
"38089350","Herbicides, antisprouting products and plant-growth regulators nesoi, put up for retail sale","61,816,783"
"38089410","Disinfectants, containing any aromatic or modified aromatic disinfectant","795,334"
"38089450","Disinfectants not subject to subheading note 1 of chapter 38, nesoi","4,355,629"
"38089908","Rodenticides containing any aromatic or modified aromatic pesticide, nesoi","3,210,526"
"38089930","Formulated biocides based on 2-methyl-4-isothiazolin-3-one, or 2-n-octyl-4-isothiazolin-3-one, or on certain other chemicals; metaldehyde","13,232,155"
"38089970","Rodenticides containing an inorganic substance","614,904"
"38089995","Rodenticides, nesoi","7,268,392"
"38099100","Finishing agents, dye carriers and like products, nesoi, used in the textile or like industries","3,094,699"
"38099250","Finishing agents, dye carriers and other preparations used in paper or like industries, < 5% by weight of aromatic (mod.) substance(s)","1,459,167"
"38099310","Finishing agents, dye carriers and other preparations used in leather and like industries, > 5% by weight aromatic (mod.) substance(s)","60,354"
"38099350","Finishing agents, dye carriers and other preparations used in leather and like industries, < 5% by weight aromatic (mod.) substance(s)","364,780"
"38101000","Pickling preparations for metal surfaces; soldering, brazing or welding powders and pastes consisting of metal and other materials","391,918"
"38109010","Preparations used for soldering or cores or coatings for welding electrodes or rods, 5% or more by weight aromatic (or mod.) substance(s)","112,800"
"38109020","Preparations used for soldering or as cores or coatings for welding electrodes or rods, consisting wholly of inorganic substances","3,328,014"
"38109050","Preparations used for soldering or as cores or coatings for welding electrodes or rods, nesoi","47,318"
"38111900","Antiknock preparations based on other than lead compounds","11,484"
"38119000","Prepared additives for mineral oils (incl. gasoline) or other liquids used for the same purposes as mineral oils, nesoi","1,838,423"
"38121010","Prepared rubber accelerators containing any aromatic or modified aromatic rubber accelerator nesoi","3,857,437"
"38121050","Prepared rubber accelerators not containing any aromatic or modified aromatic rubber accelerator nesoi","4,034,434"
"38122010","Compound plasticizers for rubber or plastics containing any aromatic or modified aromatic plasticizer nesoi","92,457"
"38122050","Compound plasticizers for rubber or plastics not containing any aromatic or modified aromatic plasticizer nesoi","1,785,002"
"38123100","Mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline (TMQ)","3,219,506"
"38123920","Mixtures of N,N'-diaryl-p-phenylenediamines","298,953"
"38123930","Master batches of poly[nitrilomethanetetraartlnitr","614,072"
"38123960","Compound plasticizers for rubber/plastics cont any aromatic or modified aromatic antioxidant or other stabilizer, nesoi","2,090,671"
"38123970","Bis(1,2,2,6,6-pentamethyl-4-piperidinyl) sebacate","1,839,073"
"38123990","Antioxiding prep & oth compound stabilizers for rubber or plastics, nesoi","15,790,110"
"38130010","Preparations and charges for fire extinguishers; charged fire-extinguishing grenades; consisting wholly of inorganic substances","293,550"
"38130050","Preparations and charges for fire extinguishers; charged fire-extinguishing grenades; nesoi","74,233"
"38140020","Organic composite solvents and thinners containing more than 25 percent by weight of one or more aromatic substances","11,161"
"38140050","Organic composite solvents and thinners, nesoi; prepared paint or varnish removers; nesoi","1,709,862"
"38151100","Supported catalysts with nickel or nickel compounds as the active substance","128,613"
"38151200","Supported catalysts with precious metal or precious metal compounds as the active substance","23,506,213"
"38151900","Supported catalysts other than with nickel or precious metal or their compounds as the active substance","62,746,048"
"38159010","Reaction initiators, reaction accelerators and catalytic preparations, nesoi, consisting wholly of bismuth, of tungsten or of vanadium","21,597"
"38159030","Reaction initiators, reaction accelerators and catalytic preparations, nesoi, consisting wholly of inorganic substances nesoi","12,182,080"
"38159050","Reaction initiators, reaction accelerators and catalytic preparations, nesoi","1,889,004"
"38160000","Refractory cements, mortars, concretes and similar compositions, other than products of heading 3801","689,933"
"38170010","Mixed linear alkylbenzenes, other than those of heading 2707 or 2902","404,762"
"38180000","Chemical elements doped for use in electronics, in the form of discs, wafers etc., chemical compounds doped for electronic use","109,834,855"
"38190000","Hydraulic brake fluids and transmission fluids cont. less than 70% by weight of petroleum oils, or bituminous mineral oils","14,182"
"38241000","Prepared binders for foundry molds or cores","225,502"
"38243000","Nonagglomerated metal carbides mixed together or with metallic binders","37,912,164"
"38244010","Prepared additives for cements, mortars or concretes containing 5% or more by weight of aromatic or modified aromatic substances","733,009"
"38244020","Prepared additives for cements, mortars or concretes consisting wholly of inorganic substances","405,551"
"38244050","Prepared additives for cements, mortars or concretes, nesoi","2,353,639"
"38245000","Non-refractory mortars and concretes","204,698"
"38247800","Containing PFCs or HFCs but not CFCs or HCFCs","31,119,535"
"38247910","Mixtures containing halogenated derivatives of methane, ethane, or propane, nesoi, chlorinated but not otherwise halogenated","310,847"
"38247990","Mixtures containing halogenated derivatives of methane, ethane, or propane, nesoi, other than chlorinated but not halogenated","3,666,779"
"38248100","Chemical mixtures containing oxirane (ethylene oxide)","71,410"
"38248700","Mixtures containing perfluorooctane sulfonic acid, its salts, perfluorooctane sulfonamides, or perfluorooctane sulfonyl fluoride","121,580"
"38248800","Mixtures containing tetra-, penta-, hexa-, hepta-, or octabromodiphenyl ethers","130,965"
"38249100","Mixtures consisting mainly of methylphosphonate etc.","2,196,827"
"38249911","Cultured crystals, weighing not less than 2.5g each, in the form of ingots","476,126"
"38249919","Cultured crystals, weighing not less than 2.5g each except in the form of ingots","224,136"
"38249921","Mixtures consisting wholly of substances found naturally in coal tar, whether obtained from coal tar or other source","719,480"
