"HTS Number","COMMODITIES","IMPORT"
"03049310","Chilled or Frozen tilapia & like fillets,nesi, in bulk or in immediate containers weighing > 6.8 kg each","389,792"
"03049410","Alaska pollack chilled or frozen fillets,in bulk or in immediate containers weighing with their contents over 6.8 kg each","1,378,477"
"03049510","Chilled or Frozen fillets,Bregmacerotidae & like, nesi, in bulk or in immediate containers > 6.8 kg each","2,409,180"
"03049590","Bregamacerotidae other fish, other than Alaska pollack, nesi, chilled or frozen fillets,nesi","29,700"
"03049911","Chilled or Frozen fillets,nesi, in bulk or in immediate containers weighing with their contents over 6.8 kg each","2,049,079"
"03049991","Chilled or Frozen fillets,nesi","33,469"
"03051020","Flours, meals and pellets of fish, fit for human consumption, in bulk or in immediate containers weighing with contents over 6.8 kg each","532,559"
"03052040","Fish livers and roes, other than sturgeon roe, dried, smoked, salted or in brine","386,246"
"03053101","Tilapia, catfish, carp, eel, nile perch, snakehead fillets, dried or salted in brine, but not smoked","2,371,809"
"03053200","Flat fish fillets, nesi, dried, salted or in brine, but not smoked","31,035,822"
"03053940","Fillets of mackerel, dried, salted or in brine, but not smoked, in immediate containers weighing with their contents 6.8 kg or less each","14,550"
"03053961","Herring and other fist fillets, dried, salted or in brine, but not smoked","4,751,330"
"03054100","Smoked Pacific, Atlantic and Danube salmon, including fillets","873,748"
"03054920","Smoked mackerel, including fillets","270,657"
"03054940","Smoked fish, including fillets, NESOI","171,535"
"03055100","Dried cod, whether or not salted but not smoked","1,936,816"
"03055400","Herrings, anchovies, sardines, sardinella, brisling or sprat, mackerel, Indian mackeral, seerfish, dried, whether or not salted, but not smoked","45,455"
"03055900","Dried fish, other than cod or shark fins, whether or not salted but not smoked","2,567,588"
"03056410","Tilapias, catfish, carp, eel, Nile perch, or snakehead, in brine or salted but not dried or smoked, in immediate containers <6.8 kg","247,288"
"03056910","Cusk, haddock, hake, and pollock, in brine or salted but not dried or smoked","7,517,245"
"03056920","Mackerel, in brine or salted but not dried or smoked, in immediate containers weighing with their contents 6.8 kg or less each","1,122,612"
"03056930","Mackerel, in brine or salted but not dried or smoked, other than in immediate containers weighing with their contents 6.8 kg or less each","265,983"
"03056950","Fish, nesi, in brine or salted but not dried or smoked, in immediate containers weighing with their contents 6.8 kg or less each","562,485"
"03056960","Fish, nesi, in brine or salted but not dried or smoked, other than in immediate containers weighing with their contents 6.8 kg or less each","33,025"
"03057200","Fish heads, tails, and maws, whether or not salted but not smoked","534,180"
"03057900","Edible fish offal, other fish heads tails and maws or shark fins, whether or not salted but not smoked","44,900"
"03061100","Rock lobster and other sea crawfish, cooked in shell or uncooked, dried, salted or in brine, frozen","6,014,347"
"03061420","Crabmeat, frozen","4,100,820"
"03061440","Crabs, cooked in shell or uncooked (whether in shell or not), dried, salted or in brine, frozen","34,277,397"
"03061600","Cold-water shrimps and prawns, cooked in shell or uncooked, dried, salted or in brine, frozen","224,736"
"03061700","Other shrimps and prawns, cooked in shell or uncooked, dried, salted or in brine, frozen","103,466,430"
"03061900","Crustateans, nesi (including flours, meals and pellets of crustaceans fit for human consumption), cooked in shell or uncooked, etc., frozen","12,375,728"
"03063340","Live crabs, fresh or chilled, other than crabmeat","27,264"
"03063500","Cold water shrimps and prawns, shell-on or peeled, live, frozen, or chilled","1,539,061"
"03063600","Shrimps and prawns, other than cold water shrimp, shell-on or peeled, live, frozen or chilled","2,915,981"
"03069340","Crabs, other than crabmeat, nesoi","39,344"
"03069500","Other shrimps and prawns, shell-on or peeled","1,348,592"
"03069900","Flours, meals and pellets of crustaceans, fit for human consumption or crustraceans nesoi","9,962"
"03071901","Oysters, fresh or chilled","216,000"
"03072100","Scallops, including queen scallops, whether in shell or not, live, fresh or chilled","42,000"
"03072200","Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten, frozen","42,239,943"
"03072901","Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten, dried, salted or in brine","26,612,665"
"03073200","Mussels (Mytilus Spp., Perna Spp.), frozen","48,009"
"03073901","Mussels (Mytilus Spp., Perna Spp.), dried, salted or in brine","126,584"
"03074200","Squid or cuttle fish, live, fresh or chilled","275,712"
"03074300","Squid or cuttle fish, frozen","130,454,788"
"03074901","Squid or cuttle fish, dried, salted or in brine","84,976,698"
"03075200","Octopus, frozen","7,834,590"
"03075901","Octopus, dried, salted or in brine","2,188,471"
"03076000","Snails, other than sea snails, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine","57,875"
"03077200","Clams, cockles and ark shells, frozen","367,716"
"03077901","Clams, cockles and ark shells, dried salted or in brine","607,426"
"03078300","Abalone, including flours, meals and pellets fit for human consumption, frozen","160,875"
"03078400","Stromboid conchs (Strombus Spp.), frozen","51,800"
"03078700","Abalone, including edible flours, meals and pellets, nesoi","976,781"
"03078800","Stromboid conchs, nesoi","2,850"
"03079200","Conch and other molluscs NESOI, including flours, meals and pellets, fit for human consumption, frozen","169,612"
"03079902","Molluscs, including flours, meals and pellets fit for human consumption, nesoi","1,610,037"
"03081200","Frozen sea cucumbers","28,740"
"03081901","Sea cucumbers, not frozen","2,584,032"
"03082100","Sea urchins, live, fresh or chilled","189,257"
"03082200","Frozen sea urchins","17,280"
"03083000","Jellly fish, live, fresh, chilled, frozen, dried, salted smoked, or in brine","910,091"
"03089000","Other aquatic invertebrates, oth than molluscs & crustaceans, nesi, live, fresh or chilled, dried, salted, smoked or in brine","184,827"
"04051010","Butter subject to quota pursuant to chapter 4 additional US note 6","92,943"
"04072900","Birds' eggs, in shell, other fresh, not fertilized eggs for incubation, other than species Gallus domesticus","257,151"
"04079000","Birds' eggs, in shell, fresh, preserved or cooked","5,314,934"
"04081100","Egg yolks, dried, whether or not containing added sweeteners","2,808"
