name,ave_retweet,ave_favorite,retweet_count,favorite_count,tweet_count,state,district_N,party
Michael Simpson,1.1702127659574468,4.9787234042553195,55,234,47,Idaho,02,Republican
Michael Turner,2.1923076923076925,7.538461538461538,57,196,26,Ohio,10,Republican
Michael Waltz,7.521951219512195,17.51219512195122,3084,7180,410,Florida,06,Republican
Miguel Levario,6.149171270718232,12.784530386740332,2226,4628,362,Texas,19,Democratic
Mike Bost,5.8478260869565215,24.282608695652176,269,1117,46,Illinois,12,Republican
Mike Coffman,5.3125,8.9375,85,143,16,Colorado,06,Republican
Mike Johnson,0.6666666666666666,10.333333333333334,2,31,3,Louisiana,04,Republican
Mike Kelly,1.345679012345679,3.5185185185185186,109,285,81,Pennsylvania,16,Republican
Mike Levin,462.1493886230728,1142.9005847953217,869303,2149796,1881,California,49,Democratic
Mike Miller,9.666666666666666,22.272357723577237,2378,5479,246,Florida,07,Republican
Mike Quigley,0.55,0.7,44,56,80,Illinois,05,Democratic
Mike Rogers,2.1666666666666665,4.966666666666667,130,298,60,Alabama,03,Republican
Mike Thompson,0.6956521739130435,2.260869565217391,32,104,46,California,05,Democratic
Mikie Sherrill,41.149668874172185,119.23178807947019,31068,90020,755,New Jersey,11,Democratic
Mildred Methvin,9.428571428571429,20.67142857142857,4620,10129,490,Louisiana,03,Democratic
Mimi Walters,9.36,26.19,936,2619,100,California,45,Republican
Morgan Griffith,4.006535947712418,6.496732026143791,613,994,153,Virginia,09,Republican
Morgan Murtaugh,18.042194092827003,71.61181434599156,8552,33944,474,California,53,Republican
Nancy Pelosi,1136.163916391639,2419.136413641364,1032773,2198995,909,California,12,Democratic
Nancy Soderberg,16.57243816254417,34.10600706713781,4690,9652,283,Florida,06,Democratic
Nanette Barragán,2.201729106628242,9.409221902017292,764,3265,347,California,44,Democratic
Naomi Levin,36.23876404494382,83.38202247191012,12901,29684,356,New York,10,Republican
Nate McMurray,18.02532751091703,65.45502183406114,41278,149892,2290,New York,27,Democratic
Neal Dunn,1.9333333333333333,4.866666666666666,29,73,15,Florida,02,Republican
Nick Stella,7.0,5.8,35,29,5,Illinois,11,Republican
Nicolas Kimaz,1.46875,2.875,141,276,96,Florida,22,Republican
Norma Torres,1.6571428571428573,4.6,116,322,70,California,35,Democratic
