name,party,state,url
Chris Sylvester (Arizona),Republican,Arizona,https://ballotpedia.org/Chris_Sylvester_(Arizona)
Clair Van Steenwyk,Republican,Arizona,https://ballotpedia.org/Clair_Van_Steenwyk
Danny Morales,Republican,Arizona,https://ballotpedia.org/Danny_Morales
Dave Giles,Republican,Arizona,https://ballotpedia.org/Dave_Giles
David Lien,Republican,Arizona,https://ballotpedia.org/David_Lien
David Schweikert,Republican,Arizona,https://ballotpedia.org/David_Schweikert
Debbie Lesko,Republican,Arizona,https://ballotpedia.org/Debbie_Lesko
Edna San Miguel,Republican,Arizona,https://ballotpedia.org/Edna_San_Miguel
Irina Baroness Von Behr,Republican,Arizona,https://ballotpedia.org/Irina_Baroness_Von_Behr
James Bond IV (Arizona),Republican,Arizona,https://ballotpedia.org/James_Bond_IV_(Arizona)
John Heffernan III,Republican,Arizona,https://ballotpedia.org/John_Heffernan_III
Kevin Cavanaugh (Arizona),Republican,Arizona,https://ballotpedia.org/Kevin_Cavanaugh_(Arizona)
Lea Marquez Peterson,Republican,Arizona,https://ballotpedia.org/Lea_Marquez_Peterson
Marilyn Wiles,Republican,Arizona,https://ballotpedia.org/Marilyn_Wiles
Mark Yates,Republican,Arizona,https://ballotpedia.org/Mark_Yates
Martha McSally,Republican,Arizona,https://ballotpedia.org/Martha_McSally
Melissa Grable,Republican,Arizona,https://ballotpedia.org/Melissa_Grable
Nicolas Pierson,Republican,Arizona,https://ballotpedia.org/Nicolas_Pierson
Paul Gosar,Republican,Arizona,https://ballotpedia.org/Paul_Gosar
Phil Lovas,Republican,Arizona,https://ballotpedia.org/Phil_Lovas
Richard Mack,Republican,Arizona,https://ballotpedia.org/Richard_Mack
Sandra Dowling,Republican,Arizona,https://ballotpedia.org/Sandra_Dowling
Sergio Arellano,Republican,Arizona,https://ballotpedia.org/Sergio_Arellano
Seth Leibsohn,Republican,Arizona,https://ballotpedia.org/Seth_Leibsohn
Stephen Dolgos,Republican,Arizona,https://ballotpedia.org/Stephen_Dolgos
Steve B. Montenegro,Republican,Arizona,https://ballotpedia.org/Steve_B._Montenegro
Steve Ferrara,Republican,Arizona,https://ballotpedia.org/Steve_Ferrara
Steve Smith (Arizona),Republican,Arizona,https://ballotpedia.org/Steve_Smith_(Arizona)
Tiffany Shedd,Republican,Arizona,https://ballotpedia.org/Tiffany_Shedd
Wendy Rogers,Republican,Arizona,https://ballotpedia.org/Wendy_Rogers
Chintan Desai,Democratic,Arkansas,https://ballotpedia.org/Chintan_Desai
Clarke Tucker,Democratic,Arkansas,https://ballotpedia.org/Clarke_Tucker
Gwen Combs,Democratic,Arkansas,https://ballotpedia.org/Gwen_Combs
Hayden Shamel,Democratic,Arkansas,https://ballotpedia.org/Hayden_Shamel
Jonathan Dunkley,Democratic,Arkansas,https://ballotpedia.org/Jonathan_Dunkley
Joshua Mahony,Democratic,Arkansas,https://ballotpedia.org/Joshua_Mahony
Mike Nelson (Arkansas),Democratic,Arkansas,https://ballotpedia.org/Mike_Nelson_(Arkansas)
Paul Spencer (Arkansas),Democratic,Arkansas,https://ballotpedia.org/Paul_Spencer_(Arkansas)
Richard Davis (Arkansas),Democratic,Arkansas,https://ballotpedia.org/Richard_Davis_(Arkansas)
Robert Butler (Arkansas),Democratic,Arkansas,https://ballotpedia.org/Robert_Butler_(Arkansas)
Bruce Westerman,Republican,Arkansas,https://ballotpedia.org/Bruce_Westerman
French Hill,Republican,Arkansas,https://ballotpedia.org/French_Hill
Randy Caldwell,Republican,Arkansas,https://ballotpedia.org/Randy_Caldwell
Rick Crawford (Arkansas),Republican,Arkansas,https://ballotpedia.org/Rick_Crawford_(Arkansas)
Robb Ryerse,Republican,Arkansas,https://ballotpedia.org/Robb_Ryerse
Steve Womack,Republican,Arkansas,https://ballotpedia.org/Steve_Womack
Adam Schiff,Democratic,California,https://ballotpedia.org/Adam_Schiff
Aja Brown,Democratic,California,https://ballotpedia.org/Aja_Brown
Alan Lowenthal,Democratic,California,https://ballotpedia.org/Alan_Lowenthal
Alan Schlar (CA-46 congressional candidate),Democratic,California,https://ballotpedia.org/Alan_Schlar_(CA-46_congressional_candidate)
Alex Spilger,Democratic,California,https://ballotpedia.org/Alex_Spilger
Alexander Miller (California),Democratic,California,https://ballotpedia.org/Alexander_Miller_(California)
Alexis Edelstein,Democratic,California,https://ballotpedia.org/Alexis_Edelstein
Ami Bera,Democratic,California,https://ballotpedia.org/Ami_Bera
Ammar Campa-Najjar,Democratic,California,https://ballotpedia.org/Ammar_Campa-Najjar
Andre Quintero,Democratic,California,https://ballotpedia.org/Andre_Quintero
Andrew Janz,Democratic,California,https://ballotpedia.org/Andrew_Janz
Andy Caffrey,Democratic,California,https://ballotpedia.org/Andy_Caffrey
Andy Thorburn,Democratic,California,https://ballotpedia.org/Andy_Thorburn
Anna Eshoo,Democratic,California,https://ballotpedia.org/Anna_Eshoo
Audrey Denney,Democratic,California,https://ballotpedia.org/Audrey_Denney
B. John-Michael Williams,Democratic,California,https://ballotpedia.org/B._John-Michael_Williams
Barbara Lee,Democratic,California,https://ballotpedia.org/Barbara_Lee
Bobby Bliatout,Democratic,California,https://ballotpedia.org/Bobby_Bliatout
Boyd Roberts,Democratic,California,https://ballotpedia.org/Boyd_Roberts
Brad Sherman,Democratic,California,https://ballotpedia.org/Brad_Sherman
Brad Westmoreland,Democratic,California,https://ballotpedia.org/Brad_Westmoreland
Brandon Storment,Democratic,California,https://ballotpedia.org/Brandon_Storment
Brian Forde,Democratic,California,https://ballotpedia.org/Brian_Forde
Bryan Caforio,Democratic,California,https://ballotpedia.org/Bryan_Caforio
Bryan Witt,Democratic,California,https://ballotpedia.org/Bryan_Witt
Cybil Steed,Democratic,California,https://ballotpedia.org/Cybil_Steed
Damien Nichols,Democratic,California,https://ballotpedia.org/Damien_Nichols
Daniel Fleming,Democratic,California,https://ballotpedia.org/Daniel_Fleming
Dave Min,Democratic,California,https://ballotpedia.org/Dave_Min
David Peterson,Democratic,California,https://ballotpedia.org/David_Peterson
Deanie Schaarsmith,Democratic,California,https://ballotpedia.org/Deanie_Schaarsmith
Dennis Duncan,Democratic,California,https://ballotpedia.org/Dennis_Duncan
Dennis Lytton,Democratic,California,https://ballotpedia.org/Dennis_Lytton
Diedra Greenaway,Democratic,California,https://ballotpedia.org/Diedra_Greenaway
Doris Matsui,Democratic,California,https://ballotpedia.org/Doris_Matsui
Dotty Nygard,Democratic,California,https://ballotpedia.org/Dotty_Nygard
Douglas Applegate,Democratic,California,https://ballotpedia.org/Douglas_Applegate
Douglas Deitch,Democratic,California,https://ballotpedia.org/Douglas_Deitch
Emilio Huerta,Democratic,California,https://ballotpedia.org/Emilio_Huerta
Emory Rodgers,Democratic,California,https://ballotpedia.org/Emory_Rodgers
Eric Rywalski,Democratic,California,https://ballotpedia.org/Eric_Rywalski
Eric Swalwell,Democratic,California,https://ballotpedia.org/Eric_Swalwell
Gil Cisneros,Democratic,California,https://ballotpedia.org/Gil_Cisneros
Glenn Jensen,Democratic,California,https://ballotpedia.org/Glenn_Jensen
Gloria Chadwick,Democratic,California,https://ballotpedia.org/Gloria_Chadwick
Grace Napolitano,Democratic,California,https://ballotpedia.org/Grace_Napolitano
Greg Ramsay,Democratic,California,https://ballotpedia.org/Greg_Ramsay
Hans Keirstead,Democratic,California,https://ballotpedia.org/Hans_Keirstead
Harley Rouda,Democratic,California,https://ballotpedia.org/Harley_Rouda
Herbert Lee (California congressional candidate),Democratic,California,https://ballotpedia.org/Herbert_Lee_(California_congressional_candidate)
"Isadore Hall, III",Democratic,California,"https://ballotpedia.org/Isadore_Hall,_III"
Jackie Speier,Democratic,California,https://ballotpedia.org/Jackie_Speier
Jared Huffman,Democratic,California,https://ballotpedia.org/Jared_Huffman
Jay Chen,Democratic,California,https://ballotpedia.org/Jay_Chen
Jerry McNerney,Democratic,California,https://ballotpedia.org/Jerry_McNerney
Jess Phoenix,Democratic,California,https://ballotpedia.org/Jess_Phoenix
Jessica Holcombe,Democratic,California,https://ballotpedia.org/Jessica_Holcombe
Jessica Morse,Democratic,California,https://ballotpedia.org/Jessica_Morse
Jim Costa,Democratic,California,https://ballotpedia.org/Jim_Costa
Jimmy Gomez,Democratic,California,https://ballotpedia.org/Jimmy_Gomez
Jimmy Panetta,Democratic,California,https://ballotpedia.org/Jimmy_Panetta
Joe Baca,Democratic,California,https://ballotpedia.org/Joe_Baca
John Garamendi,Democratic,California,https://ballotpedia.org/John_Garamendi
John Nelson (California),Democratic,California,https://ballotpedia.org/John_Nelson_(California)
Jon Pelzer,Democratic,California,https://ballotpedia.org/Jon_Pelzer
Jose Sigala,Democratic,California,https://ballotpedia.org/Jose_Sigala
Joseph Shammas,Democratic,California,https://ballotpedia.org/Joseph_Shammas
Josh Butner,Democratic,California,https://ballotpedia.org/Josh_Butner
Josh Harder,Democratic,California,https://ballotpedia.org/Josh_Harder
Jrmar Jefferson,Democratic,California,https://ballotpedia.org/Jrmar_Jefferson
Juan Vargas,Democratic,California,https://ballotpedia.org/Juan_Vargas
Judy Chu,Democratic,California,https://ballotpedia.org/Judy_Chu
Julia Brownley,Democratic,California,https://ballotpedia.org/Julia_Brownley
Julia Peacock,Democratic,California,https://ballotpedia.org/Julia_Peacock
Kaisar Ahmed,Democratic,California,https://ballotpedia.org/Kaisar_Ahmed
Karen Bass,Democratic,California,https://ballotpedia.org/Karen_Bass
Katie Hill,Democratic,California,https://ballotpedia.org/Katie_Hill
Katie Porter,Democratic,California,https://ballotpedia.org/Katie_Porter
Kelan Farrell-Smith,Democratic,California,https://ballotpedia.org/Kelan_Farrell-Smith
Kevin Puett,Democratic,California,https://ballotpedia.org/Kevin_Puett
Khanh Tran,Democratic,California,https://ballotpedia.org/Khanh_Tran
Kia Hamadanchy,Democratic,California,https://ballotpedia.org/Kia_Hamadanchy
Kim Gruenenfelder,Democratic,California,https://ballotpedia.org/Kim_Gruenenfelder
Kurtis Wilson,Democratic,California,https://ballotpedia.org/Kurtis_Wilson
Larry Jordan,Democratic,California,https://ballotpedia.org/Larry_Jordan
Laura Oatman,Democratic,California,https://ballotpedia.org/Laura_Oatman
Linda Sánchez,Democratic,California,https://ballotpedia.org/Linda_S%C3%A1nchez
Lisa Battista,Democratic,California,https://ballotpedia.org/Lisa_Battista
Lou Correa,Democratic,California,https://ballotpedia.org/Lou_Correa
Lucille Roybal-Allard,Democratic,California,https://ballotpedia.org/Lucille_Roybal-Allard
Mai Khanh Tran,Democratic,California,https://ballotpedia.org/Mai_Khanh_Tran
Mallory Kremer,Democratic,California,https://ballotpedia.org/Mallory_Kremer
Marge Doyle,Democratic,California,https://ballotpedia.org/Marge_Doyle
Mark DeSaulnier,Democratic,California,https://ballotpedia.org/Mark_DeSaulnier
Mark Takano,Democratic,California,https://ballotpedia.org/Mark_Takano
Marty Walters,Democratic,California,https://ballotpedia.org/Marty_Walters
Mary Ann Lutz,Democratic,California,https://ballotpedia.org/Mary_Ann_Lutz
Mary Helen Barro,Democratic,California,https://ballotpedia.org/Mary_Helen_Barro
Mary Pallant,Democratic,California,https://ballotpedia.org/Mary_Pallant
Mateo Morelos Bedolla,Democratic,California,https://ballotpedia.org/Mateo_Morelos_Bedolla
Maxine Waters,Democratic,California,https://ballotpedia.org/Maxine_Waters
Michael Eggman,Democratic,California,https://ballotpedia.org/Michael_Eggman
Michael Kotick,Democratic,California,https://ballotpedia.org/Michael_Kotick
Michael Masterman-Smith,Democratic,California,https://ballotpedia.org/Michael_Masterman-Smith
Mike Barkley,Democratic,California,https://ballotpedia.org/Mike_Barkley
Mike Levin,Democratic,California,https://ballotpedia.org/Mike_Levin
Mike Thompson (California),Democratic,California,https://ballotpedia.org/Mike_Thompson_(California)
Nancy Pelosi,Democratic,California,https://ballotpedia.org/Nancy_Pelosi
Nanette Barragán,Democratic,California,https://ballotpedia.org/Nanette_Barrag%C3%A1n
Norma Torres,Democratic,California,https://ballotpedia.org/Norma_Torres
Norman Quintero,Democratic,California,https://ballotpedia.org/Norman_Quintero
Omar Siddiqui,Democratic,California,https://ballotpedia.org/Omar_Siddiqui
Patrick Malloy (California),Democratic,California,https://ballotpedia.org/Patrick_Malloy_(California)
Paul Kerr,Democratic,California,https://ballotpedia.org/Paul_Kerr
Paul Vargas,Democratic,California,https://ballotpedia.org/Paul_Vargas
Pete Aguilar,Democratic,California,https://ballotpedia.org/Pete_Aguilar
Pierre Beauregard,Democratic,California,https://ballotpedia.org/Pierre_Beauregard
Rachel Payne,Democratic,California,https://ballotpedia.org/Rachel_Payne
Raji Rab,Democratic,California,https://ballotpedia.org/Raji_Rab
Raul Ruiz,Democratic,California,https://ballotpedia.org/Raul_Ruiz
Regina Bateson,Democratic,California,https://ballotpedia.org/Regina_Bateson
Ricardo De La Fuente,Democratic,California,https://ballotpedia.org/Ricardo_De_La_Fuente
Ricardo Franco,Democratic,California,https://ballotpedia.org/Ricardo_Franco
Richard Martin (California),Democratic,California,https://ballotpedia.org/Richard_Martin_(California)
Rita Ramirez,Democratic,California,https://ballotpedia.org/Rita_Ramirez
Ro Khanna,Democratic,California,https://ballotpedia.org/Ro_Khanna
Robert Lawton,Democratic,California,https://ballotpedia.org/Robert_Lawton
Robert Owen,Democratic,California,https://ballotpedia.org/Robert_Owen
Rochelle Wilcox,Democratic,California,https://ballotpedia.org/Rochelle_Wilcox
Ron Varasteh,Democratic,California,https://ballotpedia.org/Ron_Varasteh
Ronald O'Donnell,Democratic,California,https://ballotpedia.org/Ronald_O%27Donnell
Roza Calderon,Democratic,California,https://ballotpedia.org/Roza_Calderon
Ryan Khojasteh,Democratic,California,https://ballotpedia.org/Ryan_Khojasteh
Sal Genovese,Democratic,California,https://ballotpedia.org/Sal_Genovese
Salud Carbajal,Democratic,California,https://ballotpedia.org/Salud_Carbajal
Sam Jammal,Democratic,California,https://ballotpedia.org/Sam_Jammal
Sara Jacobs,Democratic,California,https://ballotpedia.org/Sara_Jacobs
Scott McVarish,Democratic,California,https://ballotpedia.org/Scott_McVarish
Scott Peters,Democratic,California,https://ballotpedia.org/Scott_Peters
Seth Vaughn,Democratic,California,https://ballotpedia.org/Seth_Vaughn
Shahid Buttar,Democratic,California,https://ballotpedia.org/Shahid_Buttar
Stephen Forbes,Democratic,California,https://ballotpedia.org/Stephen_Forbes
Stephen Jaffe,Democratic,California,https://ballotpedia.org/Stephen_Jaffe
Sue Zwahlen,Democratic,California,https://ballotpedia.org/Sue_Zwahlen
Susan Davis,Democratic,California,https://ballotpedia.org/Susan_Davis
Suzi Park Leggett,Democratic,California,https://ballotpedia.org/Suzi_Park_Leggett
TJ Cox,Democratic,California,https://ballotpedia.org/TJ_Cox
Tatiana Matta,Democratic,California,https://ballotpedia.org/Tatiana_Matta
Ted Lieu,Democratic,California,https://ballotpedia.org/Ted_Lieu
Ted Rusk,Democratic,California,https://ballotpedia.org/Ted_Rusk
Tony Cardenas,Democratic,California,https://ballotpedia.org/Tony_Cardenas
Tony Zarkades,Democratic,California,https://ballotpedia.org/Tony_Zarkades
Virginia Madueno,Democratic,California,https://ballotpedia.org/Virginia_Madueno
Wendy Reed,Democratic,California,https://ballotpedia.org/Wendy_Reed
Zoe Lofgren,Democratic,California,https://ballotpedia.org/Zoe_Lofgren
Adam Orozco,Republican,California,https://ballotpedia.org/Adam_Orozco
Aja Smith,Republican,California,https://ballotpedia.org/Aja_Smith
Andrew Grant,Republican,California,https://ballotpedia.org/Andrew_Grant
Andrew Sarega,Republican,California,https://ballotpedia.org/Andrew_Sarega
Andrew Zelt,Republican,California,https://ballotpedia.org/Andrew_Zelt
