name,ave_retweet,ave_favorite,retweet_count,favorite_count,tweet_count,state,district_N,party,abbreviation,district_key
Jason Smith,4.597609561752988,16.687250996015933,4616,16754,1004,Missouri,08,Republican,MO,MO-08
Jay Webber,7.882857142857143,20.76,2759,7266,350,New Jersey,11,Republican,NJ,NJ-11
Jeannine Lee Lake,5.930481283422461,17.919786096256683,2218,6702,374,Indiana,06,Democratic,IN,IN-06
Jeff Denham,3.4027777777777777,7.298611111111112,980,2102,288,California,10,Republican,CA,CA-10
Jeff Dove,5.1919561243144425,10.455210237659964,2840,5719,547,Virginia,11,Republican,VA,VA-11
Jeff Jones,0.2241379310344828,0.603448275862069,26,70,116,Michigan,12,Republican,MI,MI-12
Jennie Lou Leeder,4.656639004149378,6.5145228215767625,4489,6280,964,Texas,11,Democratic,TX,TX-11
Jennifer Lewis,7.243611584327088,17.83304940374787,4252,10468,587,Virginia,06,Democratic,VA,VA-06
Jennifer Nye,0.7241379310344828,1.6551724137931034,84,192,116,Connecticut,01,Republican,CT,CT-01
Jennifer Wexton,36.228388473852725,104.98932764140876,33946,98375,937,Virginia,10,Democratic,VA,VA-10
Jennifer Zielinski,4.085427135678392,8.577889447236181,813,1707,199,Minnesota,05,Republican,MN,MN-05
Jennifer Zimmerman,5.000884955752213,8.202654867256637,5651,9269,1130,Florida,01,Democratic,FL,FL-01
Jeramey Anderson,5.3130590339892665,11.456171735241506,2970,6404,559,Mississippi,04,Democratic,MS,MS-04
Jerry Hilliard,2.804878048780488,6.7317073170731705,115,276,41,Michigan,04,Democratic,MI,MI-04
Jerry McNerney,1.05,3.75,21,75,20,California,09,Democratic,CA,CA-09
Jesse Colvin,9.211974110032363,26.011326860841425,5693,16075,618,Maryland,01,Democratic,MD,MD-01
Jessee Carlton Fleenor,20.33333333333333,27.714285714285715,427,582,21,Louisiana,05,Democratic,LA,LA-05
Jessica King,27.568848758465013,82.627539503386,12213,36604,443,Pennsylvania,11,Democratic,PA,PA-11
Jessica McClure,3.637377963737797,9.0697350069735,2608,6503,717,Nebraska,01,Democratic,NE,NE-01
Jessica Morse,59.54278416347382,127.69093231162195,46622,99982,783,California,04,Democratic,CA,CA-04
Jill Schiller,13.877358490566039,27.254716981132077,2942,5778,212,Ohio,02,Democratic,OH,OH-02
Jim Banks,4.449735449735449,17.97354497354498,841,3397,189,Indiana,03,Republican,IN,IN-03
Jim Burgess,0.0,0.0,0,0,2,Ohio,03,Republican,OH,OH-03
Jim Cooper,6.052631578947367,17.894736842105264,115,340,19,Tennessee,05,Democratic,TN,TN-05
Jim Francis,11.441441441441441,23.745173745173744,8890,18450,777,Louisiana,01,Democratic,LA,LA-01
Jim Hagedorn,9.494845360824742,17.443298969072163,2763,5076,291,Minnesota,01,Republican,MN,MN-01
Jim Himes,98.02134146341464,289.405487804878,64302,189850,656,Connecticut,04,Democratic,CT,CT-04
Jim Langevin,0.5873015873015873,1.1150793650793651,148,281,252,Rhode Island,02,Democratic,RI,RI-02
Jim McGovern,3.3052631578947365,9.789473684210526,314,930,95,Massachusetts,02,Democratic,MA,MA-02
Jimmy Gomez,5.421933085501858,24.855018587360593,2917,13372,538,California,34,Democratic,CA,CA-34
Jimmy Panetta,1.2352941176470589,5.882352941176472,21,100,17,California,20,Democratic,CA,CA-20
Jineea Butler,0.8235294117647058,2.588235294117647,42,132,51,New York,13,Republican,NY,NY-13
Jitendra Diganvker,0.5030674846625767,1.3190184049079754,82,215,163,Illinois,08,Republican,IL,IL-08
Joan Greene,6.6253498600559775,13.558976409436223,16570,33911,2501,Arizona,05,Democratic,AZ,AZ-05
Joaquin Castro,17.576576576576578,75.23423423423424,1951,8351,111,Texas,20,Democratic,TX,TX-20
Jodey Arrington,0.875,8.25,7,66,8,Texas,19,Republican,TX,TX-19
Jody Ball,0.3992248062015504,0.5891472868217055,103,152,258,Tennessee,05,Republican,TN,TN-05
Joe Courtney,1.5416666666666667,5.25,37,126,24,Connecticut,02,Democratic,CT,CT-02
Joe Cunningham,73.499095840868,188.3652802893309,40645,104166,553,South Carolina,01,Democratic,SC,SC-01
Joe Kaufman,0.772020725388601,1.093264248704663,596,844,772,Florida,23,Republican,FL,FL-23
Joe Neguse,19.206896551724142,80.55172413793103,557,2336,29,Colorado,02,Democratic,CO,CO-02
Joe Profit,8.0,15.0,48,90,6,Georgia,04,Republican,GA,GA-04
Joe Radinovich,9.600760456273763,30.7490494296578,2525,8087,263,Minnesota,08,Democratic,MN,MN-08
Joe Vitollo,0.6703056768558951,2.9104803493449776,307,1333,458,New York,20,Republican,NY,NY-20
Joe Wilson,4.625,11.5,37,92,8,South Carolina,02,Republican,SC,SC-02
John Carter,4.318181818181818,11.075757575757574,855,2193,198,Texas,31,Republican,TX,TX-31
John Chrin,2.5219638242894056,6.439276485788113,976,2492,387,Pennsylvania,08,Republican,PA,PA-08
John Culberson,2.822314049586777,5.446280991735537,683,1318,242,Texas,07,Republican,TX,TX-07
John Curtis,2.096330275229358,15.995412844036696,457,3487,218,Utah,03,Republican,UT,UT-03
John Elleson,0.5302013422818792,2.161073825503356,79,322,149,Illinois,09,Republican,IL,IL-09
John Faso,3.428125,8.728125,1097,2793,320,New York,19,Republican,NY,NY-19
John Fitzgerald,1.5078125,4.046875,193,518,128,California,11,Republican,CA,CA-11
John Garamendi,1.6,2.466666666666667,24,37,15,California,03,Democratic,CA,CA-03
John Hugo,11.266666666666667,7.833333333333332,338,235,30,Massachusetts,05,Republican,MA,MA-05
John Joyce,3.804347826086957,8.26086956521739,175,380,46,Pennsylvania,13,Republican,PA,PA-13
John Larson,3.2294573643410853,6.431007751937986,2083,4148,645,Connecticut,01,Democratic,CT,CT-01
John McCann,17.224137931034484,46.91666666666666,5994,16327,348,New Jersey,05,Republican,NJ,NJ-05
John Michael Galbraith,6.471374045801528,10.83969465648855,6782,11360,1048,Ohio,05,Democratic,OH,OH-05
John Moolenaar,0.0,3.0,0,3,1,Michigan,04,Republican,MI,MI-04
John Ratcliffe,16.0,54.33333333333334,48,163,3,Texas,04,Republican,TX,TX-04
John Rutherford,0.0,4.0,0,4,1,Florida,04,Republican,FL,FL-04
John Sarbanes,0.7179487179487181,2.2051282051282053,28,86,39,Maryland,03,Democratic,MD,MD-03
John Shimkus,0.0,0.0,0,0,1,Illinois,15,Republican,IL,IL-15
Johnny Nalbandian,55.0,82.06117908787542,49445,73773,899,California,28,Republican,CA,CA-28
Jose Serrano,12.0,40.2,60,201,5,New York,15,Democratic,NY,NY-15
Joseph Crowley,25.203732503888027,154.8040435458787,16206,99539,643,New York,14,Democratic,NY,NY-14
Joseph Kennedy III,186.74825174825176,673.3636363636364,26705,96291,143,Massachusetts,04,Democratic,MA,MA-04
Joseph Kopser,6.617210682492582,21.605341246290802,4460,14562,674,Texas,21,Democratic,TX,TX-21
Joseph Morelle,4.462745098039216,14.862745098039214,1138,3790,255,New York,25,Democratic,NY,NY-25
Joseph Schneider,3.739130434782609,6.391304347826088,86,147,23,Massachusetts,06,Republican,MA,MA-06
Josh Gottheimer,1.8041237113402064,8.773195876288659,875,4255,485,New Jersey,05,Democratic,NJ,NJ-05
Josh Guillory,1.7608695652173914,2.9130434782608696,81,134,46,Louisiana,03,Republican,LA,LA-03
Josh Harder,20.16949152542373,50.451977401129945,10710,26790,531,California,10,Democratic,CA,CA-10
Josh McCall,11.50390015600624,25.970358814352576,14748,33294,1282,Georgia,09,Democratic,GA,GA-09
Josh Welle,8.98137535816619,22.070200573065904,6269,15405,698,New Jersey,04,Democratic,NJ,NJ-04
Joshua Mahony,11.252032520325203,25.54308943089431,6920,15709,615,Arkansas,03,Democratic,AR,AR-03
Joyce Beatty,1.6444444444444444,6.2,74,279,45,Ohio,03,Democratic,OH,OH-03
Joyce Bentley,1.1212121212121209,2.1515151515151514,37,71,33,Nevada,01,Republican,NV,NV-01
Julia Brownley,1.7820512820512822,4.076923076923077,139,318,78,California,26,Democratic,CA,CA-26
Julia Peacock,9.957050823192557,25.109520400858983,13910,35078,1397,California,42,Democratic,CA,CA-42
Julie Oliver,35.91216655823032,92.43331164606377,55197,142070,1537,Texas,25,Democratic,TX,TX-25
Junius Rodriguez,7.420110192837464,19.58264462809917,5387,14217,726,Illinois,18,Democratic,IL,IL-18
Justin Amash,204.10206718346254,594.1459948320412,157975,459869,774,Michigan,03,Republican,MI,MI-03
Justin DeWitt,10.673667205169627,22.87237479806139,6607,14158,619,Louisiana,06,Democratic,LA,LA-06
Justin Fareed,2.2015355086372357,4.038387715930901,1147,2104,521,California,24,Republican,CA,CA-24
Justin Kanew,21.366197183098592,46.34028169014085,37925,82254,1775,Tennessee,07,Democratic,TN,TN-07
Kara Eastman,20.2671875,62.4015625,12971,39937,640,Nebraska,02,Democratic,NE,NE-02
Karen Bass,3.0,6.525,120,261,40,California,37,Democratic,CA,CA-37
Karen Handel,17.0126582278481,57.10759493670886,2688,9023,158,Georgia,06,Republican,GA,GA-06
Karen McCormick,4.498168498168498,9.435897435897436,1228,2576,273,Colorado,04,Democratic,CO,CO-04
Katherine Clark,9.661764705882351,25.19117647058824,657,1713,68,Massachusetts,05,Democratic,MA,MA-05
Kathleen Rice,0.75,5.25,9,63,12,New York,04,Democratic,NY,NY-04
Kathleen Williams,9.606321839080461,26.33620689655172,3343,9165,348,Montana,00,Democratic,MT,MT-00
Kathy Castor,5.775510204081633,14.66326530612245,566,1437,98,Florida,14,Democratic,FL,FL-14
Kathy Ellis,4.328859060402683,7.573825503355705,1290,2257,298,Missouri,08,Democratic,MO,MO-08
Kathy Manning,16.717073170731712,35.178048780487806,6854,14423,410,North Carolina,13,Democratic,NC,NC-13
Katie Arrington,91.8048048048048,266.7747747747748,30571,88836,333,South Carolina,01,Republican,SC,SC-01
Katie Hill,36.305613305613306,105.24012474012474,34926,101241,962,California,25,Democratic,CA,CA-25
Katie Porter,36.451807228915655,92.46299483648882,42357,107442,1162,California,45,Democratic,CA,CA-45
Katy Geppert,2.3866666666666667,5.76,179,432,75,Missouri,03,Democratic,MO,MO-03
Kelly Armstrong,3.862745098039216,19.699346405228763,591,3014,153,North Dakota,00,Republican,ND,ND-00
Ken Calvert,2.7058823529411766,7.029411764705883,92,239,34,California,42,Republican,CA,CA-42
Ken Harbaugh,17.936170212765962,42.38905775075988,5901,13946,329,Ohio,07,Democratic,OH,OH-07
Kendra Fershee,7.075812274368231,16.332129963898918,1960,4524,277,West Virginia,01,Democratic,WV,WV-01
Kendra Horn,5.04,20.234782608695653,2898,11635,575,Oklahoma,05,Democratic,OK,OK-05
Kenneth Wright,67.10877192982456,115.11578947368422,38252,65616,570,California,33,Republican,CA,CA-33
Kenny Marchant,0.375,2.6666666666666665,9,64,24,Texas,24,Republican,TX,TX-24
Kevin Brady,2.1645885286783044,4.955112219451372,868,1987,401,Texas,08,Republican,TX,TX-08
Kevin Gaither,1.8282442748091603,3.5890585241730286,1437,2821,786,Illinois,15,Democratic,IL,IL-15
Kevin Hern,1.6213991769547325,3.9711934156378597,394,965,243,Oklahoma,01,Republican,OK,OK-01
Kevin McCarthy,17.166666666666668,46.33333333333334,103,278,6,California,23,Republican,CA,CA-23
Kevin Yoder,12.163346613545814,23.80478087649402,3053,5975,251,Kansas,03,Republican,KS,KS-03
Kim Schrier,37.86684073107049,73.06005221932115,14503,27982,383,Washington,08,Democratic,WA,WA-08
Kimberlin Brown Pelzer,15.741935483870966,51.94758064516129,3904,12883,248,California,36,Republican,CA,CA-36
Kimberly Bizon,5.8439201451905625,7.014519056261343,3220,3865,551,Michigan,10,Democratic,MI,MI-10
Kristen Carlson,17.94736842105263,31.36842105263158,682,1192,38,Florida,15,Democratic,FL,FL-15
Kurt Schrader,4.4,9.8,22,49,5,Oregon,05,Democratic,OR,OR-05
Kyle Horton,16.403035413153454,29.446880269814507,9727,17462,593,North Carolina,07,Democratic,NC,NC-07
Larry Bucshon,1.903225806451613,6.193548387096773,59,192,31,Indiana,08,Republican,IN,IN-08
Lauren Baer,12.792122538293214,26.769146608315097,11692,24467,914,Florida,18,Democratic,FL,FL-18
Lauren Underwood,43.740279937791605,117.66718506998444,28125,75660,643,Illinois,14,Democratic,IL,IL-14
Lea Marquez Peterson,3.9154228855721382,12.467661691542286,787,2506,201,Arizona,02,Republican,AZ,AZ-02
Lee Auman,15.183856502242152,24.053811659192824,3386,5364,223,Alabama,04,Democratic,AL,AL-04
Lee Castillo,2.9432624113475176,5.510638297872339,830,1554,282,Utah,01,Democratic,UT,UT-01
Lee Zeldin,144.74883720930234,355.7813953488373,31121,76493,215,New York,01,Republican,NY,NY-01
Lena Epstein,26.54,51.008,6635,12752,250,Michigan,11,Republican,MI,MI-11
Leonard Lance,7.108108108108107,8.54054054054054,263,316,37,New Jersey,07,Republican,NJ,NJ-07
Leslie Cockburn,3.9259259259259265,11.304526748971195,954,2747,243,Virginia,05,Democratic,VA,VA-05
Linda Coleman,12.108910891089108,24.366336633663373,1223,2461,101,North Carolina,02,Democratic,NC,NC-02
Linsey Fagan,8.75,28.50906735751295,6755,22009,772,Texas,26,Democratic,TX,TX-26
Lisa Blunt Rochester,4.741935483870968,25.032258064516128,294,1552,62,Delaware,00,Democratic,DE,DE-00
Lisa Brown,44.63125,109.565,35705,87652,800,Washington,05,Democratic,WA,WA-05
Lisa Ring,15.733732236350038,27.770381451009715,21036,37129,1337,Georgia,01,Democratic,GA,GA-01
Liuba Grechen Shirley,20.43126520681265,54.58576642335766,33589,89739,1644,New York,02,Democratic,NY,NY-02
Liz Matory,3.630769230769231,12.492307692307694,236,812,65,Maryland,02,Republican,MD,MD-02
Liz Watson,10.430720506730008,26.707046714172613,13174,33731,1263,Indiana,09,Democratic,IN,IN-09
Lizzie Pannill Fletcher,24.104774535809018,48.29840848806366,18175,36417,754,Texas,07,Democratic,TX,TX-07
Lloyd Doggett,2.1607142857142856,5.7232142857142865,242,641,112,Texas,35,Democratic,TX,TX-35
Lois Frankel,5.0,8.0,10,16,2,Florida,21,Democratic,FL,FL-21
Lori Trahan,6.642857142857142,17.066233766233765,5115,13141,770,Massachusetts,03,Democratic,MA,MA-03
Lorie Burch,6.11496062992126,12.15275590551181,3883,7717,635,Texas,03,Democratic,TX,TX-03
Lutchi Gayot,19.27840909090909,73.91287878787878,10179,39026,528,New York,09,Republican,NY,NY-09
M.J. Hegar,68.27727272727273,231.4090909090909,30042,101820,440,Texas,31,Democratic,TX,TX-31
Mac Schneider,3.3089005235602094,15.575916230366492,632,2975,191,North Dakota,00,Democratic,ND,ND-00
Mac Thornberry,1.1111111111111112,3.0,10,27,9,Texas,13,Republican,TX,TX-13
Madeleine Dean,10.382743362831857,32.904867256637175,4693,14873,452,Pennsylvania,04,Democratic,PA,PA-04
Mallory Hagan,10.682791435368754,25.84694686756543,13471,32593,1261,Alabama,03,Democratic,AL,AL-03
Manny Santos,2.5114942528735638,4.574712643678161,437,796,174,Connecticut,05,Republican,CT,CT-05
Marc Friedenberg,4.466960352422907,10.083700440528633,2028,4578,454,Pennsylvania,12,Democratic,PA,PA-12
Marc Veasey,4.7346938775510194,25.448979591836732,232,1247,49,Texas,33,Democratic,TX,TX-33
Marcia Fudge,4.5,11.0,9,22,2,Ohio,11,Democratic,OH,OH-11
Marcy Kaptur,1.3783783783783785,3.918918918918919,51,145,37,Ohio,09,Democratic,OH,OH-09
Margaret Engebretson,11.301724137931034,18.84051724137931,2622,4371,232,Wisconsin,07,Democratic,WI,WI-07
Maria Elvira Salazar,17.94230769230769,48.490384615384606,5598,15129,312,Florida,27,Republican,FL,FL-27
Mariah Phillips,2.0,6.666666666666668,12,40,6,Tennessee,04,Democratic,TN,TN-04
Mario Diaz-Balart,2.730769230769231,7.288461538461537,142,379,52,Florida,25,Republican,FL,FL-25
Mark Amodei,11.0,36.0,11,36,1,Nevada,02,Republican,NV,NV-02
Mark Callahan,5.223684210526316,5.171052631578949,397,393,76,Oregon,05,Republican,OR,OR-05
Mark DeSaulnier,1.3770491803278688,3.4262295081967213,84,209,61,California,11,Democratic,CA,CA-11
Mark Green,5.617801047120419,17.979057591623036,1073,3434,191,Tennessee,07,Republican,TN,TN-07
Mark Harris,7.6220095693779895,20.224880382775122,1593,4227,209,North Carolina,09,Republican,NC,NC-09
Mark Holbrook,0.5,0.9673913043478259,138,267,276,Maine,01,Republican,ME,ME-01
Mark Pocan,12.202898550724635,40.344202898550726,3368,11135,276,Wisconsin,02,Democratic,WI,WI-02
Mark Takano,3.0,5.0,3,5,1,California,41,Democratic,CA,CA-41
Mark Walker,1.5098039215686274,6.019607843137255,77,307,51,North Carolina,06,Republican,NC,NC-06
Mark Wayne Lorch,0.17647058823529413,0.7058823529411765,3,12,17,Illinois,04,Republican,IL,IL-04
Markwayne Mullin,1.0206185567010309,2.9793814432989687,99,289,97,Oklahoma,02,Republican,OK,OK-02
Marla Livengood,3.282608695652174,6.967391304347826,302,641,92,California,09,Republican,CA,CA-09
Marty Nothstein,1.4583333333333333,5.25925925925926,315,1136,216,Pennsylvania,07,Republican,PA,PA-07
Marty Olsen,4.141430948419302,11.267886855241265,2489,6772,601,Tennessee,01,Democratic,TN,TN-01
Mary Barzee Flores,19.064814814814813,41.199074074074076,4118,8899,216,Florida,25,Democratic,FL,FL-25
Mary Brannon,3.926605504587156,5.5412844036697235,428,604,109,Oklahoma,04,Democratic,OK,OK-04
Mary Gay Scanlon,10.08670520231214,24.13487475915221,5235,12526,519,Pennsylvania,05,Democratic,PA,PA-05
Mary Geren,38.258547008547005,54.641025641025635,17905,25572,468,South Carolina,03,Democratic,SC,SC-03
Matt Cartwright,11.390476190476189,21.53333333333333,1196,2261,105,Pennsylvania,08,Democratic,PA,PA-08
Matt Gaetz,180.13140311804008,480.9799554565702,80879,215960,449,Florida,01,Republican,FL,FL-01
Matt Longjohn,11.192307692307693,20.641025641025642,873,1610,78,Michigan,06,Democratic,MI,MI-06
Max Rose,15.110285006195786,43.76951672862454,12194,35322,807,New York,11,Democratic,NY,NY-11
Maxine Waters,21.18237347294939,39.17888307155322,24275,44899,1146,California,43,Democratic,CA,CA-43
Mel Hall,2.8814814814814813,10.790123456790123,1167,4370,405,Indiana,02,Democratic,IN,IN-02
Mia Love,28.82317073170732,142.65243902439025,4727,23395,164,Utah,04,Republican,UT,UT-04
Michael Bishop,1.5762711864406782,5.330508474576272,186,629,118,Michigan,08,Republican,MI,MI-08
Michael Evans,4.880281690140845,11.077464788732396,693,1573,142,Mississippi,03,Democratic,MS,MS-03
Michael Gallagher,1.3928571428571428,8.25,39,231,28,Wisconsin,08,Republican,WI,WI-08
Michael Guest,3.5386533665835413,13.241895261845384,1419,5310,401,Mississippi,03,Republican,MS,MS-03
Michael McCaul,1.1911764705882353,3.4754901960784315,243,709,204,Texas,10,Republican,TX,TX-10
Michael Simpson,1.1702127659574468,4.97872340425532,55,234,47,Idaho,02,Republican,ID,ID-02
Michael Turner,2.1923076923076925,7.538461538461537,57,196,26,Ohio,10,Republican,OH,OH-10
Michael Waltz,7.521951219512196,17.51219512195122,3084,7180,410,Florida,06,Republican,FL,FL-06
Miguel Levario,6.149171270718233,12.784530386740332,2226,4628,362,Texas,19,Democratic,TX,TX-19
Mike Bost,5.8478260869565215,24.282608695652176,269,1117,46,Illinois,12,Republican,IL,IL-12
Mike Coffman,5.3125,8.9375,85,143,16,Colorado,06,Republican,CO,CO-06
Mike Johnson,0.6666666666666666,10.333333333333334,2,31,3,Louisiana,04,Republican,LA,LA-04
Mike Kelly,1.3456790123456788,3.5185185185185186,109,285,81,Pennsylvania,16,Republican,PA,PA-16
Mike Levin,462.1493886230728,1142.9005847953215,869303,2149796,1881,California,49,Democratic,CA,CA-49
Mike Miller,9.666666666666666,22.272357723577237,2378,5479,246,Florida,07,Republican,FL,FL-07
Mike Quigley,0.55,0.7,44,56,80,Illinois,05,Democratic,IL,IL-05
Mike Rogers,2.1666666666666665,4.966666666666667,130,298,60,Alabama,03,Republican,AL,AL-03
Mike Thompson,0.6956521739130435,2.260869565217391,32,104,46,California,05,Democratic,CA,CA-05
Mikie Sherrill,41.149668874172185,119.23178807947019,31068,90020,755,New Jersey,11,Democratic,NJ,NJ-11
Mildred Methvin,9.428571428571429,20.67142857142857,4620,10129,490,Louisiana,03,Democratic,LA,LA-03
Mimi Walters,9.36,26.19,936,2619,100,California,45,Republican,CA,CA-45
Morgan Griffith,4.006535947712418,6.496732026143791,613,994,153,Virginia,09,Republican,VA,VA-09
Morgan Murtaugh,18.042194092827003,71.61181434599156,8552,33944,474,California,53,Republican,CA,CA-53
Nancy Pelosi,1136.1639163916388,2419.136413641364,1032773,2198995,909,California,12,Democratic,CA,CA-12
Nancy Soderberg,16.57243816254417,34.10600706713781,4690,9652,283,Florida,06,Democratic,FL,FL-06
Nanette Barragán,2.2017291066282416,9.409221902017293,764,3265,347,California,44,Democratic,CA,CA-44
Naomi Levin,36.23876404494382,83.38202247191012,12901,29684,356,New York,10,Republican,NY,NY-10
Nate McMurray,18.02532751091703,65.45502183406114,41278,149892,2290,New York,27,Democratic,NY,NY-27
Neal Dunn,1.9333333333333331,4.866666666666666,29,73,15,Florida,02,Republican,FL,FL-02
Nick Stella,7.0,5.8,35,29,5,Illinois,11,Republican,IL,IL-11
Nicolas Kimaz,1.46875,2.875,141,276,96,Florida,22,Republican,FL,FL-22
Norma Torres,1.6571428571428573,4.6,116,322,70,California,35,Democratic,CA,CA-35
Nydia Velazquez,3.286570743405276,14.816546762589926,2741,12357,834,New York,07,Democratic,NY,NY-07
Omar Navarro,827.0970556161396,1769.4656488549615,758448,1622600,917,California,43,Republican,CA,CA-43
Patrick McHenry,0.8717948717948718,2.2051282051282053,34,86,39,North Carolina,10,Republican,NC,NC-10
Paul Davis,12.503836317135551,35.02046035805627,4889,13693,391,Kansas,02,Democratic,KS,KS-02
Paul Dilks,0.43478260869565216,1.0,70,161,161,New Jersey,01,Republican,NJ,NJ-01
Paul Theobald,5.699669966996701,9.613861386138613,1727,2913,303,Nebraska,03,Democratic,NE,NE-03
Paul Tonko,0.6186224489795918,1.1122448979591837,485,872,784,New York,20,Democratic,NY,NY-20
Paul Walker,7.0,14.546666666666667,525,1091,75,Kentucky,01,Democratic,KY,KY-01
Pearl Kim,2.5855263157894743,10.901315789473683,393,1657,152,Pennsylvania,05,Republican,PA,PA-05
Perry Gershon,13.385796545105569,39.27831094049904,6974,20464,521,New York,01,Democratic,NY,NY-01
Pete Aguilar,2.6666666666666665,10.0,8,30,3,California,31,Democratic,CA,CA-31
Pete Olson,0.8781725888324873,2.6091370558375635,173,514,197,Texas,22,Republican,TX,TX-22
Pete Sessions,1.2611111111111108,2.2111111111111112,227,398,180,Texas,32,Republican,TX,TX-32
Pete Stauber,17.65989847715736,44.86548223350254,6958,17677,394,Minnesota,08,Republican,MN,MN-08
Peter DeFazio,2.333333333333333,7.0,7,21,3,Oregon,04,Democratic,OR,OR-04
Peter Joffrion,22.19402985074627,45.00533049040512,20818,42215,938,Alabama,05,Democratic,AL,AL-05
Peter King,9.0,22.75,144,364,16,New York,02,Republican,NY,NY-02
Peter Tedeschi,1.6582278481012658,4.561181434599156,393,1081,237,Massachusetts,09,Republican,MA,MA-09
Peter Visclosky,2.0,4.75,8,19,4,Indiana,01,Democratic,IN,IN-01
Peter Welch,2.071428571428572,11.607142857142858,58,325,28,Vermont,00,Democratic,VT,VT-00
Peter Yu,1.875,7.775,75,311,40,Colorado,02,Republican,CO,CO-02
Phillip Aronoff,1.5054945054945057,3.4615384615384617,137,315,91,Texas,29,Republican,TX,TX-29
Phillip Price,20.33656957928802,35.6294498381877,12568,22019,618,North Carolina,11,Democratic,NC,NC-11
Pramila Jayapal,29.186904761904763,101.18928571428572,24517,84999,840,Washington,07,Democratic,WA,WA-07
Raja Krishnamoorthi,3.5,13.5,7,27,2,Illinois,08,Democratic,IL,IL-08
Ralph Abraham,1.9629629629629632,6.62962962962963,53,179,27,Louisiana,05,Republican,LA,LA-05
Randy Bryce,1201.3017521090198,3171.879948085659,1851206,4887867,1541,Wisconsin,01,Democratic,WI,WI-01
Randy Hultgren,2.0769230769230766,2.1538461538461537,27,28,13,Illinois,14,Republican,IL,IL-14
Randy Wadkins,16.810650887573964,20.402366863905325,2841,3448,169,Mississippi,01,Democratic,MS,MS-01
Randy Weber,0.7826086956521741,2.130434782608696,18,49,23,Texas,14,Republican,TX,TX-14
Rashida Tlaib,30.727436823104693,168.91335740072202,17023,93578,554,Michigan,13,Democratic,MI,MI-13
Raul Grijalva,3.361842105263158,6.6951754385964914,1533,3053,456,Arizona,03,Democratic,AZ,AZ-03
Raul Ruiz,3.0,4.0,3,4,1,California,36,Democratic,CA,CA-36
Renee Hoagenson,49.429590017825305,83.63725490196079,55460,93841,1122,Missouri,04,Democratic,MO,MO-04
Renee Hoyos,4.678403755868545,15.530516431924882,1993,6616,426,Tennessee,02,Democratic,TN,TN-02
Renee Zeno,7.974874371859295,30.959798994974875,1587,6161,199,New York,26,Republican,NY,NY-26
Richard Hudson,1.2,4.95,24,99,20,North Carolina,08,Republican,NC,NC-08
Richard Ojeda,21.279153534443946,86.67807294011705,47261,192512,2221,West Virginia,03,Democratic,WV,WV-03
Richmond Davis,0.7466666666666667,1.0933333333333333,56,82,75,Maryland,07,Republican,MD,MD-07
Rick Allen,2.0,2.4166666666666665,24,29,12,Georgia,12,Republican,GA,GA-12
Rick Crawford,2.238095238095238,4.976190476190476,94,209,42,Arkansas,01,Republican,AR,AR-01
Rick Green,2.720720720720721,7.0225225225225225,604,1559,222,Massachusetts,03,Republican,MA,MA-03
Rick Kennedy,5.164814814814815,10.088888888888887,2789,5448,540,Texas,17,Democratic,TX,TX-17
Rick Larsen,0.659217877094972,2.2681564245810057,118,406,179,Washington,02,Democratic,WA,WA-02
Rick Neal,12.036511156186615,28.886409736308323,5934,14241,493,Ohio,15,Democratic,OH,OH-15
Ro Khanna,118.10603290676417,308.3217550274223,323020,843260,2735,California,17,Democratic,CA,CA-17
Rob Anderson,1.325242718446602,3.5485436893203883,273,731,206,Louisiana,03,Democratic,LA,LA-03
Rob Bishop,1.6842105263157894,4.842105263157895,32,92,19,Utah,01,Republican,UT,UT-01
Rob Davidson,27.615468409586054,77.80936819172112,25351,71429,918,Michigan,02,Democratic,MI,MI-02
Rob Wittman,1.9702970297029705,3.4059405940594063,199,344,101,Virginia,01,Republican,VA,VA-01
Robert Kennedy Jr.,14.382716049382715,21.59567901234568,4660,6997,324,Alabama,01,Democratic,AL,AL-01
Rod Blum,2.381578947368421,6.052631578947367,181,460,76,Iowa,01,Republican,IA,IA-01
Rodney Davis,3.4736842105263164,7.7105263157894735,132,293,38,Illinois,13,Republican,IL,IL-13
Roger Allison,13.602173913043478,21.99782608695652,6257,10119,460,North Carolina,01,Republican,NC,NC-01
Roger Marshall,5.717299578059071,16.628691983122362,2710,7882,474,Kansas,01,Republican,KS,KS-01
Roger Williams,1.1044776119402986,3.2686567164179103,74,219,67,Texas,25,Republican,TX,TX-25
Ron Bassilian,3.1887287024901703,7.720401922236785,7299,17672,2289,California,37,Republican,CA,CA-37
Ron Estes,2.1730769230769234,6.115384615384616,113,318,52,Kansas,04,Republican,KS,KS-04
Ronald DiNicola,11.37984496124031,19.751937984496127,1468,2548,129,Pennsylvania,16,Democratic,PA,PA-16
Ronald Wright,3.7258064516129035,9.85483870967742,231,611,62,Texas,06,Republican,TX,TX-06
Rosa DeLauro,4.344827586206897,16.370689655172413,504,1899,116,Connecticut,03,Democratic,CT,CT-03
Ross Spano,1.3636363636363635,5.161616161616162,135,511,99,Florida,15,Republican,FL,FL-15
Ruben Gallego,144.78134556574923,597.3180428134557,94687,390646,654,Arizona,07,Democratic,AZ,AZ-07
Rudy Peters,5.09065934065934,7.45879120879121,1853,2715,364,California,15,Republican,CA,CA-15
